date,Amazon 
2018-03-25,100
2018-03-26,93
2018-03-27,89
2018-03-28,89
2018-03-29,88
2018-03-30,91
2018-03-31,88
2018-04-01,85
2018-04-02,95
2018-04-03,91
2018-04-04,89
2018-04-05,87
2018-04-06,83
2018-04-07,85
2018-04-08,94
2018-04-09,89
2018-04-10,88
2018-04-11,86
2018-04-12,86
2018-04-13,83
2018-04-14,77
2018-04-15,97
2018-04-16,87
2018-04-17,86
2018-04-18,83
2018-04-19,88
2018-04-20,79
2018-04-21,81
2018-04-22,92
2018-04-23,83
2018-04-24,84
2018-04-25,89
2018-04-26,84
2018-04-27,84
2018-04-28,95
2018-04-29,99
2018-04-30,96
2018-05-01,86
2018-05-02,91
2018-05-03,87
2018-05-04,82
2018-05-05,85
2018-05-06,83
2018-05-07,90
2018-05-08,87
2018-05-09,88
2018-05-10,89
2018-05-11,83
2018-05-12,89
2018-05-13,89
2018-05-14,88
2018-05-15,90
2018-05-16,88
2018-05-17,89
2018-05-18,85
2018-05-19,75
2018-05-20,89
2018-05-21,87
2018-05-22,90
2018-05-23,88
2018-05-24,89
2018-05-25,81
2018-05-26,84
2018-05-27,88
2018-05-28,94
2018-05-29,87
2018-05-30,88
2018-05-31,89
2018-06-01,85
2018-06-02,89
2018-06-03,98
2018-06-04,93
2018-06-05,88
2018-06-06,91
2018-06-07,97
2018-06-08,88
2018-06-09,91
2018-06-10,96
2018-06-11,91
2018-06-12,89
2018-06-13,92
2018-06-14,90
2018-06-15,85
2018-06-16,91
2018-06-17,98
2018-06-18,87
2018-06-19,84
2018-06-20,88
2018-06-21,88
2018-06-22,81
2018-06-23,89
