date,Google
2012-03-25,79
2012-03-26,83
2012-03-27,87
2012-03-28,82
2012-03-29,86
2012-03-30,80
2012-03-31,82
2012-04-01,89
2012-04-02,81
2012-04-03,79
2012-04-04,78
2012-04-05,80
2012-04-06,83
2012-04-07,78
2012-04-08,79
2012-04-09,81
2012-04-10,77
2012-04-11,83
2012-04-12,78
2012-04-13,79
2012-04-14,73
2012-04-15,78
2012-04-16,78
2012-04-17,82
2012-04-18,81
2012-04-19,81
2012-04-20,80
2012-04-21,80
2012-04-22,81
2012-04-23,84
2012-04-24,95
2012-04-25,87
2012-04-26,88
2012-04-27,85
2012-04-28,82
2012-04-29,76
2012-04-30,79
2012-05-01,82
2012-05-02,85
2012-05-03,84
2012-05-04,84
2012-05-05,80
2012-05-06,80
2012-05-07,76
2012-05-08,86
2012-05-09,84
2012-05-10,80
2012-05-11,85
2012-05-12,82
2012-05-13,79
2012-05-14,80
2012-05-15,84
2012-05-16,87
2012-05-17,82
2012-05-18,83
2012-05-19,83
2012-05-20,80
2012-05-21,79
2012-05-22,87
2012-05-23,100
2012-05-24,84
2012-05-25,82
2012-05-26,79
2012-05-27,80
2012-05-28,82
2012-05-29,82
2012-05-30,84
2012-05-31,84
2012-06-01,78
2012-06-02,82
2012-06-03,78
2012-06-04,74
2012-06-05,78
2012-06-06,75
2012-06-07,81
2012-06-08,76
2012-06-09,76
2012-06-10,77
2012-06-11,81
2012-06-12,82
2012-06-13,85
2012-06-14,81
2012-06-15,81
2012-06-16,79
2012-06-17,83
2012-06-18,82
2012-06-19,83
2012-06-20,79
2012-06-21,83
2012-06-22,80
2012-06-23,86
