date,Microsoft
2018-01-23,94
2018-01-24,90
2018-01-25,78
2018-01-26,75
2018-01-27,55
2018-01-28,67
2018-01-29,90
2018-01-30,100
2018-01-31,90
2018-02-01,93
2018-02-02,86
2018-02-03,46
2018-02-04,59
2018-02-05,73
2018-02-06,91
2018-02-07,88
2018-02-08,82
2018-02-09,81
2018-02-10,47
2018-02-11,53
2018-02-12,81
2018-02-13,69
2018-02-14,88
2018-02-15,84
2018-02-16,72
2018-02-17,52
2018-02-18,60
2018-02-19,81
2018-02-20,78
2018-02-21,90
2018-02-22,84
2018-02-23,83
2018-02-24,50
2018-02-25,59
2018-02-26,89
2018-02-27,93
2018-02-28,76
2018-03-01,83
2018-03-02,78
2018-03-03,56
2018-03-04,67
2018-03-05,93
2018-03-06,89
2018-03-07,82
2018-03-08,90
2018-03-09,73
2018-03-10,45
2018-03-11,63
2018-03-12,85
2018-03-13,88
2018-03-14,86
2018-03-15,98
2018-03-16,81
2018-03-17,57
2018-03-18,64
2018-03-19,100
2018-03-20,96
2018-03-21,95
2018-03-22,89
2018-03-23,92
2018-03-24,52
2018-03-25,58
2018-03-26,88
2018-03-27,92
2018-03-28,85
2018-03-29,78
2018-03-30,58
2018-03-31,42
2018-04-01,45
2018-04-02,64
2018-04-03,82
2018-04-04,66
2018-04-05,78
2018-04-06,75
2018-04-07,45
2018-04-08,54
2018-04-09,80
2018-04-10,81
2018-04-11,82
2018-04-12,77
2018-04-13,79
2018-04-14,52
2018-04-15,56
2018-04-16,86
2018-04-17,87
2018-04-18,89
2018-04-19,78
2018-04-20,79
2018-04-21,43
2018-04-22,48
2018-04-23,80
