date,Tesla
2012-03-25,29
2012-03-26,18
2012-03-27,42
2012-03-28,25
2012-03-29,12
2012-03-30,33
2012-03-31,7
2012-04-01,29
2012-04-02,18
2012-04-03,6
2012-04-04,24
2012-04-05,31
2012-04-06,36
2012-04-07,7
2012-04-08,57
2012-04-09,37
2012-04-10,12
2012-04-11,29
2012-04-12,17
2012-04-13,18
2012-04-14,27
2012-04-15,26
2012-04-16,28
2012-04-17,11
2012-04-18,22
2012-04-19,11
2012-04-20,6
2012-04-21,68
2012-04-22,19
2012-04-23,49
2012-04-24,22
2012-04-25,27
2012-04-26,39
2012-04-27,35
2012-04-28,13
2012-04-29,42
2012-04-30,33
2012-05-01,28
2012-05-02,44
2012-05-03,11
2012-05-04,41
2012-05-05,28
2012-05-06,47
2012-05-07,41
2012-05-08,27
2012-05-09,22
2012-05-10,49
2012-05-11,30
2012-05-12,36
2012-05-13,13
2012-05-14,38
2012-05-15,91
2012-05-16,91
2012-05-17,45
2012-05-18,30
2012-05-19,34
2012-05-20,20
2012-05-21,33
2012-05-22,29
2012-05-23,48
2012-05-24,31
2012-05-25,46
2012-05-26,32
2012-05-27,7
2012-05-28,28
2012-05-29,23
2012-05-30,28
2012-05-31,6
2012-06-01,19
2012-06-02,15
2012-06-03,14
2012-06-04,21
2012-06-05,100
2012-06-06,39
2012-06-07,17
2012-06-08,29
2012-06-09,28
2012-06-10,32
2012-06-11,11
2012-06-12,28
2012-06-13,17
2012-06-14,11
2012-06-15,12
2012-06-16,20
2012-06-17,60
2012-06-18,45
2012-06-19,35
2012-06-20,77
2012-06-21,5
2012-06-22,23
2012-06-23,28
